training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
7.4423566,0.20929305,-1.8188454,1.3098742,-2.9404576,93.9434,-0.0028705,-29.187662,-75.97165,0.16887389,9.274496,0.19890292,-1.8621061,0.0044808164,-29.526577,-74.5294,0.2240262,0.008219667291641235,2653.959264278412,175000
9.402912,0.17639941,-1.8869159,4.371334,-3.5764647,153.90302,0.005292468,-30.213804,-69.5889,0.14498124,9.838971,0.20379032,-1.8835626,-0.010170534,-30.17821,-71.03433,0.35429484,0.008210495901107787,2695.01175737381,180000
6.7616754,0.13856287,-1.893199,2.5573192,-1.8890882,140.35661,0.04102353,-29.716228,-72.236084,0.25070965,9.151352,0.14644875,-1.9244716,0.031573825,-29.877241,-76.751465,0.32087666,0.00820612907409668,2736.042412996292,185000
7.148968,0.14153709,-1.8327125,4.6268272,-4.055482,139.25597,-0.007687986,-31.678669,-76.39006,0.16721858,7.4795017,0.1389677,-1.9377958,-0.00631506,-31.715609,-76.764,0.17678836,0.008734562492370606,2779.715240716934,190000
6.8972874,0.11947235,-1.8745501,3.47388,-4.761226,176.13373,0.064498276,-30.056757,-74.378105,0.20728755,8.285671,0.13165243,-1.9366741,0.08240726,-27.930326,-74.03947,0.1711759,0.010439358997344972,2831.912056207657,195000
6.2910604,0.267823,-1.7681534,1.0525668,-2.122808,103.513016,0.022282876,-29.768608,-74.796875,0.1499755,5.948325,0.15131354,-1.8641077,0.027163364,-29.15773,-77.711136,0.19083665,0.009154910850524903,2877.686624288559,200000
8.2010765,0.17408898,-1.8436202,2.1608546,-2.252107,149.51999,0.02669245,-29.339745,-75.292564,0.2528736,5.152954,0.077221036,-1.8855962,-0.0043948293,-30.454624,-73.30403,0.1516179,0.12082948970794678,3481.8340866565704,205000
7.520106,0.1521471,-1.8722765,4.4351754,-4.829938,150.85104,-0.0016560853,-31.257935,-75.72757,0.21458146,8.053194,0.2684612,-1.8012869,-0.00394883,-30.352148,-72.0647,0.12124753,0.010936747407913209,3536.517847299576,210000
7.6034136,0.19802128,-1.8684785,2.7548947,-3.705748,195.79372,0.030931056,-28.400331,-73.63109,0.3218394,7.202819,0.2274388,-1.8012995,0.04253696,-29.597717,-79.79219,0.19071373,0.00962192029953003,3584.627466201782,215000
6.8422513,0.07495002,-1.8987966,2.2197607,-3.5596826,153.66327,-0.039542675,-28.77309,-73.46349,0.18654177,8.581043,0.20419508,-1.8155353,-0.035778567,-29.894236,-73.63193,0.1984147,0.00957593183517456,3632.5071415901184,220000
6.131361,0.06994943,-1.8200276,2.1417964,-2.5381794,152.05052,0.060358025,-29.1991,-71.86676,0.2572063,6.5811357,0.1278396,-1.9219577,0.063817106,-30.463303,-77.34383,0.22053759,0.010424864864349365,3684.631483078003,225000
7.66706,0.20707066,-1.8639184,2.2098637,-4.279782,135.06393,0.019486398,-31.558372,-72.23457,0.28420573,8.120932,0.25451156,-1.7578611,0.003880076,-31.840164,-77.78963,0.12292844,0.01072492437362671,3738.256123781204,230000
8.261221,0.172041,-1.7627087,10.162199,-11.638693,175.8894,0.010939233,-32.617664,-72.937325,0.23325473,7.9680986,0.1341541,-1.9681394,0.016807437,-32.540047,-74.331085,0.19347066,0.011990949821472169,3798.2108924388885,235000
8.160414,0.23852313,-1.7519373,4.8965034,-7.1862097,129.71417,-0.0010271221,-31.516672,-75.33212,0.18611044,6.041938,0.18265519,-1.7581542,-0.002673775,-28.207241,-71.46211,0.1836642,0.009856382274627686,3847.492821455002,240000
8.306341,0.17820722,-1.9190488,9.435332,-6.341448,143.69785,0.007919036,-30.963501,-75.76108,0.118406266,11.160608,0.2703721,-1.8534573,0.008321635,-32.38892,-73.335304,0.24303757,0.008866142320632934,3891.8235476017,245000
6.6978817,0.20422783,-1.7672107,2.9257727,-3.7897115,95.1225,0.019037113,-31.580631,-75.535065,0.12775168,10.196467,0.2412371,-1.8814697,0.023163639,-28.945992,-72.60528,0.17730789,0.008396784400939942,3933.807482481003,250000
8.39354,0.18542048,-1.8654162,2.8437452,-4.145996,169.78685,0.020060778,-32.61615,-74.177284,0.15679292,6.454282,0.14765413,-1.9665933,0.02101282,-30.786306,-76.92682,0.22928211,0.00823971586227417,3975.006076335907,255000
