training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
7.632133,0.15301126,-1.8694367,2.2222936,-2.4961154,108.2912,0.028996073,-29.227938,-71.345894,0.16012084,6.366087,0.15684602,-1.9304554,0.019969676,-27.83229,-69.175446,0.14469808,0.00786922459602356,1866.7278122901917,140000
7.3915043,0.09375148,-1.8557518,1.9300854,-2.8810472,112.64546,0.0104625,-30.88519,-71.52841,0.22726999,5.824741,0.17629701,-1.7890449,-0.009321038,-29.857456,-68.25522,0.14971638,0.007871250820159912,1906.08407664299,145000
6.396616,0.11599207,-1.8594773,1.8779355,-1.3132141,87.660645,-0.045935985,-28.037745,-73.133415,0.13827729,6.8419104,0.16880202,-1.8201241,-0.051932298,-27.264297,-71.70951,0.24205631,0.007878964614868164,1945.478910446167,150000
6.1184525,0.13598692,-1.8511969,1.2358475,-1.683473,108.994934,-0.0060082227,-31.72527,-77.53267,0.19144964,6.796115,0.096407615,-1.9819145,-0.010454871,-29.97396,-69.656784,0.20072931,0.007891400098800658,1984.9359200000763,155000
9.992359,0.14322405,-1.9499665,3.9864702,-4.5444193,124.04578,-0.02103123,-33.365555,-73.05954,0.22631474,7.050046,0.16944322,-1.8599795,-0.023592837,-32.64073,-75.980064,0.218553,0.00788307490348816,2024.3513042926788,160000
6.4882517,0.19984043,-1.9255832,1.4487809,-2.079249,77.14447,-0.005997978,-30.237183,-74.84732,0.14155176,6.655043,0.11098132,-2.0177279,-0.0017350689,-28.241596,-73.13643,0.1972999,0.00788589005470276,2063.7807655334473,165000
4.916877,0.15933825,-1.7731694,2.789054,-4.6614523,106.8241,0.01105652,-29.0605,-74.9774,0.18115145,5.5901647,0.14303242,-1.8332288,0.03413611,-27.778387,-70.9631,0.1283117,0.007888014554977417,2103.220851421356,170000
7.0333242,0.18305555,-1.726479,2.711332,-6.675074,184.12909,-0.015371874,-32.503235,-75.95442,0.238999,5.6003423,0.14484322,-1.963573,-0.009306498,-29.439888,-71.57472,0.147748,0.00788960599899292,2142.6688911914825,175000
6.326974,0.16326687,-1.9095899,1.4119177,-2.6956391,95.24725,0.029201552,-32.17614,-71.5558,0.17876218,5.6524487,0.12298715,-1.8459938,0.028571717,-33.22609,-74.818794,0.1780079,0.007877684831619262,2182.0573275089264,180000
7.0642743,0.18732244,-1.8100686,1.9185843,-1.6414095,130.58241,0.030192874,-27.801859,-75.695145,0.18769696,6.018735,0.13519767,-1.9115651,0.010798469,-30.413397,-72.583725,0.18759625,0.007891817188262939,2221.516424894333,185000
6.109156,0.18903744,-1.8051202,1.7005775,-1.7096936,96.27803,-0.000310719,-30.117805,-73.980194,0.16938457,8.170097,0.20940053,-1.7292862,-0.005912654,-30.171204,-73.23652,0.20967656,0.007892648601531983,2260.979679107666,190000
4.8717318,0.12566556,-1.9138699,3.2309632,-2.0380826,129.63525,-0.029200502,-27.371685,-72.02586,0.26406452,5.193689,0.1815275,-1.8234313,-0.0036672875,-31.55125,-71.85158,0.113803476,0.007893941497802735,2300.4493968486786,195000
5.2335596,0.15406056,-1.8466773,1.7393898,-2.7094586,103.96332,0.019415364,-27.98594,-74.95224,0.14799751,7.9157104,0.19374114,-1.7651813,0.020621754,-31.040041,-71.32022,0.19192818,0.00789157967567444,2339.9073071479797,200000
4.259528,0.16232839,-1.7365954,2.905017,-2.0357838,124.0854,-0.029669516,-30.879675,-70.15297,0.207438,8.7091675,0.1390166,-1.8447498,-0.013890877,-32.574524,-70.3916,0.14570168,0.07574144992828369,2718.614567756653,205000
5.7608624,0.11025185,-1.673889,1.5399204,-2.616324,103.43558,0.0037309453,-29.447445,-75.38747,0.16901922,6.911976,0.17591271,-1.9192677,0.0011571497,-30.326279,-74.632095,0.25336695,0.007897065448760987,2758.099903821945,210000
6.239177,0.15735167,-1.7889643,1.5356462,-2.4125016,126.55561,-0.016254023,-28.369228,-74.04613,0.16102494,7.081402,0.16566145,-1.9255067,-0.025459133,-29.182217,-72.42308,0.14862156,0.00789686245918274,2797.5842249393463,215000
5.922243,0.13562767,-1.9293523,1.0340848,-1.9930509,101.97186,0.04600755,-29.667511,-68.44586,0.19639045,5.9390945,0.1621068,-1.8418918,0.035862572,-29.448006,-74.35059,0.13916099,0.007900388240814208,2837.086177587509,220000
6.8157363,0.16038488,-1.8144417,1.4356173,-2.4678826,106.220314,-0.021282353,-31.108763,-71.5824,0.1488934,7.9048004,0.21446052,-1.8786776,-0.0078609735,-30.806753,-75.43309,0.14199653,0.007888125658035278,2876.5268166065216,225000
6.201049,0.07069495,-1.880146,4.6515775,-3.9412518,136.40558,0.074637815,-31.375095,-71.83968,0.32575375,6.311531,0.19128846,-1.9253055,0.06731311,-28.060104,-69.96005,0.15621027,0.007898242950439453,2916.0180411338806,230000
6.885807,0.19274442,-1.7908143,5.925844,-4.492779,152.35733,0.02242139,-28.308615,-68.75847,0.13805515,6.435752,0.1786811,-1.7250252,0.00017040223,-30.402658,-76.302574,0.18165684,0.007896881675720216,2955.5024614334106,235000
7.553486,0.21234287,-1.7071359,2.512127,-3.1609676,121.68348,0.000927113,-29.019112,-70.747696,0.21067616,7.6115146,0.18421187,-1.8104355,0.010099448,-30.42706,-70.470764,0.18240389,0.007880572414398193,2994.905333518982,240000
6.750989,0.072837494,-2.0252798,2.0416398,-2.760131,121.81165,0.011498988,-30.869652,-75.4511,0.18500315,5.885572,0.13166067,-1.9484657,0.02118811,-28.521599,-72.37084,0.17118284,0.007891041707992553,3034.3605527877808,245000
7.9093347,0.23340859,-1.6645834,11.708294,-7.9196305,213.21463,0.007227741,-27.386509,-74.492805,0.15359654,6.6841726,0.19924647,-1.7340319,0.006335035,-28.750933,-71.53535,0.22240421,0.007891489839553832,3073.818011045456,250000
8.802336,0.20741148,-1.7244843,7.495843,-8.033547,146.70074,0.03240341,-29.987892,-75.6384,0.15635826,6.8297625,0.1660915,-1.9152188,0.026216358,-29.468515,-70.88983,0.2170014,0.007899658393859864,3113.316311597824,255000
5.210264,0.16685759,-1.8664923,2.1542468,-3.9956045,91.4601,0.02746182,-31.94295,-72.939835,0.17065819,7.8596425,0.18375994,-1.6884972,0.03411808,-31.322987,-73.24881,0.12854935,0.007900329494476319,3152.817969560623,260000
6.1104584,0.14862084,-1.8268151,1.4985433,-2.235666,148.96411,-0.001968719,-30.384651,-72.138954,0.28057545,5.4333425,0.13595447,-1.7809243,-0.017749533,-31.366371,-76.04143,0.18980479,0.007898755979537963,3192.3117599487305,265000
6.47223,0.24210684,-1.6179038,3.6894078,-6.2468176,100.23025,0.011656672,-29.702858,-70.43989,0.14430591,5.145501,0.11979517,-1.7223072,0.0069104955,-31.362297,-70.7848,0.17756024,0.007888735485076905,3231.755448579788,270000
8.225658,0.18320729,-1.8005373,2.9871023,-4.400717,186.88557,0.037058488,-28.38542,-73.51779,0.23288254,9.5208,0.18935868,-1.8290472,0.015857466,-29.071106,-71.73184,0.13674293,0.007894253396987915,3271.226726293564,275000
6.597006,0.25063604,-1.7597147,3.4399643,-2.809593,139.01479,-0.038281493,-32.98189,-76.98518,0.2357319,7.311584,0.22627,-1.9464674,-0.022535414,-32.57551,-75.93225,0.13765626,0.00789087324142456,3310.681102514267,280000
6.8314943,0.13137977,-1.7975415,3.2505424,-5.0033026,148.06711,0.00012088567,-30.02318,-71.6228,0.20288739,6.101611,0.21715468,-1.8326,-0.003494136,-29.354471,-72.28706,0.094182745,0.007890648365020752,3350.134354352951,285000
6.154174,0.13399376,-1.822002,1.8560808,-3.5681562,123.293106,-0.0006441623,-28.556067,-69.35259,0.17206608,5.598675,0.14806755,-1.8051786,0.0045823753,-30.909138,-72.87617,0.16631761,0.007900284242630005,3389.635785341263,290000
6.620763,0.14602114,-1.807214,2.3229606,-2.6141756,108.76796,0.046182595,-26.759296,-75.142204,0.120305434,7.62865,0.20411505,-1.7941372,0.036855794,-32.789093,-72.93402,0.18077967,0.007884805107116699,3429.0598216056824,295000
5.3333592,0.122017786,-1.8349,2.3439546,-2.2865694,115.551445,0.0043651387,-29.341389,-77.04617,0.21111889,6.3548155,0.22606817,-1.8539016,0.009346902,-27.878254,-64.26068,0.14247437,0.007887322568893433,3468.4964439868927,300000
5.8620605,0.0933998,-1.9270315,6.7405686,-6.715565,115.32274,0.0216038,-29.466387,-72.592064,0.17624116,5.7951717,0.0872035,-1.9461085,0.012442529,-32.636806,-70.77355,0.13976079,0.07106280193328858,3823.810463666916,305000
6.3351383,0.15781677,-1.8188741,3.0539052,-4.0717773,94.618866,0.00091748685,-29.124207,-71.1792,0.13955712,5.9926496,0.18801832,-1.9307587,-0.006033309,-28.078705,-76.05259,0.0923024,0.007872394037246704,3863.172444820404,310000
6.433671,0.16787127,-1.7884401,3.1200857,-2.8807604,117.4804,0.022436664,-30.96006,-77.66113,0.123243265,4.872515,0.14637715,-1.6435565,-0.0030189604,-30.285694,-76.75809,0.2223774,0.007882476568222045,3902.5848381519318,315000
